"Data of 1 min 
(Friday, January 13, 2023 7:45:00.179 PM GMT+05:45) ",,,,,,,,,,,,
Date and time,Acc X Ts,Acc X Value,Acc Y Ts,Acc Y Value,Acc Z Ts,Acc Z Value,Gyro X Ts,Gyro X Value,Gyro Y Ts,Gyro Y Value,Gyro Z Ts,Gyro Z Value
1/13/2023 19:30:59,1673618459338,-0.135,1673618459338,0.512,1673618459338,-0.812,1673618459338,-170.31,1673618459338,54.74,1673618459338,0.49
1/13/2023 19:30:59,1673618458536,0.1,1673618458536,0.773,1673618458536,-0.48,1673618458536,-251.72,1673618458536,-18.27,1673618458536,-24.85
1/13/2023 19:30:58,1673618457735,0.057,1673618457735,0.889,1673618457735,-0.395,1673618457735,-127.47,1673618457735,-20.58,1673618457735,6.3
1/13/2023 19:30:57,1673618456933,0.142,1673618456933,0.907,1673618456933,-0.436,1673618456933,-136.57,1673618456933,-51.52,1673618456933,3.92
1/13/2023 19:30:56,1673618456131,0,1673618456131,0.922,1673618456131,-0.4,1673618456131,131.039,1673618456131,25.13,1673618456131,23.03
1/13/2023 19:30:55,1673618455329,0.052,1673618455329,0.896,1673618455329,-0.398,1673618455329,34.16,1673618455329,6.3,1673618455329,-16.66
1/13/2023 19:30:55,1673618454527,-0.046,1673618454527,0.882,1673618454527,-0.419,1673618454527,61.6,1673618454527,-4.9,1673618454527,5.32
1/13/2023 19:30:54,1673618453926,0.055,1673618453926,0.841,1673618453926,-0.377,1673618453926,-95.55,1673618453926,-3.64,1673618453926,25.2
1/13/2023 19:30:53,1673618453124,0.072,1673618453124,0.943,1673618453124,-0.338,1673618453124,-66.71,1673618453124,-48.44,1673618453124,-19.67
1/13/2023 19:30:52,1673618452316,-0.076,1673618452316,0.82,1673618452316,-0.405,1673618452316,50.96,1673618452316,39.55,1673618452316,20.58
1/13/2023 19:30:52,1673618451514,-0.127,1673618451514,0.897,1673618451514,-0.467,1673618451514,29.33,1673618451514,24.85,1673618451514,-21.98
1/13/2023 19:30:51,1673618450712,-0.002,1673618450712,0.883,1673618450712,-0.458,1673618450712,-42.21,1673618450712,-7.56,1673618450712,-0.7
1/13/2023 19:30:50,1673618449910,0.04,1673618449910,0.966,1673618449910,-0.443,1673618449910,114.24,1673618449910,-14.28,1673618449910,0.21
1/13/2023 19:30:49,1673618449109,-0.017,1673618449109,0.826,1673618449109,-0.437,1673618449109,67.27,1673618449109,19.39,1673618449109,-15.47
